Modelo;Consumo Etanol (Km/L);Consumo Gasolina (Km/L);Capacidade Tanque (L)
FIAT-UNO;8,9;12,7;48
FORD-KA;8,1;11,6;55
CITROEN-C3;7,5;11,9;47
RENAULT-CLIO;9,5;14,3;50
AUDI-A1;;10,8;45
AUDI-A4;10,1;8,8;65
